file,family,category,odrl_term
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL322-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL322-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL322-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL322-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL323-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL323-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL323-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL323-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL324-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL324-policy.ttl,spatial,Policies,eq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL324-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL324-policy.ttl,spatial,Policies,lteq
